1000166,55000.0,Q,Approved,2026-01-09 13:33:22.321450
1000166,320000.0,Q,Rejected,2026-01-09 13:33:40.544911
4446244,1000.0,I,Approved,2026-01-09 13:39:24.554712
4446244,1000.0,I,Approved,2026-01-09 13:39:28.521571
4446244,1000.0,I,Approved,2026-01-09 13:39:32.705369
4446244,1000.0,I,Approved,2026-01-09 13:39:36.520075
4446244,1000.0,I,Approved,2026-01-09 13:39:40.940138
4446244,1000.0,I,Rejected,2026-01-09 13:39:53.224105
4424492,1000.0,O,Approved,2026-01-09 15:53:52.045942
1120459,1000.0,O,Approved,2026-01-12 11:55:01.286806
1120459,1000.0,O,Approved,2026-01-12 11:55:05.023592
1120459,1000.0,O,Approved,2026-01-12 11:55:38.855376
1120459,1000.0,O,Approved,2026-01-12 11:55:42.919316
1120459,1000.0,O,Approved,2026-01-12 11:55:47.043718
1120459,100.0,O,Force Approved,2026-01-12 11:55:57.960378
1000212,1000.0,L,Approved,2026-01-12 15:50:34.399709
1000212,10.0,L,Approved,2026-01-12 15:50:44.547382
1000212,10.0,L,Approved,2026-01-12 15:50:49.537891
1000212,10.0,L,Approved,2026-01-12 15:50:53.525620
1000212,10.0,L,Approved,2026-01-12 15:50:57.904635
1000212,10.0,L,Rejected,2026-01-12 15:51:04.130476
